Date,Stock Index,Open Price,Close Price,Daily High,Daily Low,Trading Volume,GDP Growth (%),Inflation Rate (%),Unemployment Rate (%)
2000-03-17,NASDAQ,4482.31,4484.110000000001,4496.610000000001,4455.75,112593112,5.23,7.06,11.63
2000-03-18,Dow Jones,1955.18,1966.6000000000001,1997.0800000000002,1934.77,783125993,2.96,6.85,5.7
2000-03-19,Dow Jones,2804.96,2778.62,2834.2200000000003,2764.93,657295964,-3.75,5.16,6.93
2000-03-20,NASDAQ,4939.96,4938.31,4958.45,4931.740000000001,223914041,-0.72,4.64,4.59
2000-03-21,Dow Jones,4088.05,4080.96,4112.35,4040.0,545832152,2.81,3.98,14.62
2000-03-22,S&P 500,1108.67,1066.16,1124.3600000000001,1016.3500000000001,358434805,7.79,8.62,8.72
2000-03-23,NASDAQ,1260.82,1221.4399999999998,1267.9099999999999,1204.9599999999998,317188026,5.61,3.31,13.65
2000-03-24,S&P 500,2855.73,2889.48,2900.17,2836.65,225886856,4.33,2.59,6.5
2000-03-25,S&P 500,4636.88,4610.86,4642.16,4579.96,815739709,2.44,7.43,13.19
2000-03-26,NASDAQ,3154.81,3124.31,3188.96,3088.39,430682626,-0.52,3.6,2.7
2000-03-27,Dow Jones,2991.25,2991.74,3024.7799999999997,2971.65,378329550,-3.21,8.47,14.77
2000-03-28,S&P 500,1421.89,1448.76,1496.29,1376.64,791254083,1.14,3.28,13.86
2000-03-29,NASDAQ,3627.12,3583.31,3663.6,3555.31,335449388,-4.57,7.02,6.72
2000-03-30,S&P 500,4288.41,4296.09,4298.6900000000005,4265.889999999999,475226213,-1.83,0.45,12.07
2000-03-31,S&P 500,2521.68,2483.6,2565.89,2451.27,824342099,1.49,3.86,11.78
2000-04-01,S&P 500,4102.45,4056.1,4145.58,4008.46,578975920,1.28,3.43,13.72
2000-04-02,S&P 500,4857.91,4813.18,4880.08,4773.450000000001,693648470,-4.34,8.17,5.99
2000-04-03,Dow Jones,1815.07,1848.49,1877.78,1813.07,741479396,3.84,9.67,8.05
2000-04-04,S&P 500,3093.32,3055.1200000000003,3142.1200000000003,3038.5000000000005,83889149,3.25,4.61,13.24
2000-04-05,S&P 500,2148.55,2103.07,2175.17,2079.54,773567918,-3.83,8.25,12.12
2000-04-06,S&P 500,4171.42,4165.21,4216.6900000000005,4149.4800000000005,659985095,9.15,7.0,7.12
2000-04-07,Dow Jones,3310.37,3344.77,3348.92,3275.3599999999997,66932792,-3.51,9.67,12.99
2000-04-08,S&P 500,3538.33,3514.5699999999997,3547.88,3473.2599999999998,578281956,7.82,8.11,2.61
2000-04-09,S&P 500,4191.66,4183.83,4213.7,4147.26,346079543,-5.0,0.77,12.17
2000-04-10,Dow Jones,2583.88,2537.87,2613.12,2488.4,742520684,8.23,7.13,4.69
2000-04-11,Dow Jones,4660.36,4655.2699999999995,4701.17,4641.639999999999,210065568,-4.7,5.35,5.72
2000-04-12,Dow Jones,3132.12,3139.88,3189.29,3088.37,381928032,6.37,0.16,8.41
2000-04-13,S&P 500,1631.82,1638.9099999999999,1658.35,1593.49,858221766,0.43,2.51,7.85
2000-04-14,Dow Jones,3783.6,3766.8399999999997,3785.97,3748.7299999999996,960919870,6.07,9.22,8.77
2000-04-15,Dow Jones,4173.05,4154.6,4213.110000000001,4117.89,88232789,1.03,9.26,9.08
2000-04-16,S&P 500,2267.05,2227.71,2297.27,2222.51,418511556,-3.94,7.99,6.31
2000-04-17,Dow Jones,4428.72,4415.400000000001,4438.650000000001,4375.93,267908397,6.51,9.82,4.28
2000-04-18,S&P 500,4624.57,4584.5199999999995,4649.3099999999995,4557.9,925614420,-3.93,8.07,11.99
2000-04-19,NASDAQ,2107.62,2134.2799999999997,2171.3999999999996,2093.0099999999998,312539837,8.83,0.1,7.2
2000-04-20,Dow Jones,4934.09,4980.72,5019.240000000001,4901.3,674155416,-4.24,2.88,8.58
2000-04-21,NASDAQ,1562.85,1609.86,1634.84,1530.77,671068752,2.19,0.31,10.38
2000-04-22,S&P 500,1808.06,1844.57,1859.83,1797.59,631074167,5.85,0.94,13.83
2000-04-23,Dow Jones,1736.9,1746.98,1795.67,1735.38,391519430,0.9,2.19,11.2
2000-04-24,S&P 500,4575.96,4596.05,4629.22,4554.28,89001141,-1.74,5.04,2.59
2000-04-25,NASDAQ,3617.17,3595.69,3637.58,3567.21,629016505,6.39,8.48,12.9
2000-04-26,S&P 500,1608.42,1621.5,1635.52,1564.5900000000001,928499057,6.76,8.62,14.86
2000-04-27,Dow Jones,2761.29,2756.85,2797.85,2710.44,608066171,8.84,6.16,8.14
2000-04-28,Dow Jones,3461.19,3459.39,3473.3,3432.95,62531772,0.64,9.28,14.6
2000-04-29,NASDAQ,1333.86,1359.6399999999999,1368.2299999999998,1296.1699999999998,857936914,2.59,5.0,9.12
2000-04-30,S&P 500,4529.67,4507.86,4556.16,4485.889999999999,961746099,0.45,8.89,7.98
2000-05-01,Dow Jones,4214.41,4196.21,4228.91,4158.91,214911942,-1.14,4.54,6.31
2000-05-02,NASDAQ,3020.83,3063.29,3094.74,3010.59,24423911,6.27,2.77,10.55
2000-05-03,Dow Jones,4868.51,4824.13,4874.41,4805.58,630562028,0.09,9.16,4.99
2000-05-04,Dow Jones,2671.04,2669.6,2703.79,2637.89,560596730,1.42,3.88,3.36
2000-05-05,S&P 500,4936.44,4977.719999999999,4991.879999999999,4935.53,215374897,1.06,5.03,2.35
2000-05-06,Dow Jones,3671.68,3682.72,3682.73,3635.56,920749207,5.69,3.29,5.8
2000-05-07,S&P 500,3538.69,3543.33,3549.68,3496.91,781941002,8.77,6.63,7.15
2000-05-08,Dow Jones,1663.82,1638.79,1710.5,1618.83,321197992,5.0,9.95,9.18
2000-05-09,NASDAQ,4527.71,4512.04,4571.08,4489.64,841746806,2.07,0.26,5.81
2000-05-10,Dow Jones,2709.96,2745.16,2756.8399999999997,2667.4,210184575,6.69,9.0,14.79
2000-05-11,S&P 500,1648.93,1654.8500000000001,1693.7700000000002,1610.15,905715957,4.61,0.04,5.79
2000-05-12,S&P 500,1050.43,1051.9,1082.3300000000002,1036.02,120588703,-4.09,3.64,7.73
2000-05-13,NASDAQ,3239.02,3198.98,3287.57,3182.78,196740327,-3.57,1.69,3.34
2000-05-14,Dow Jones,3109.6,3061.2,3128.2799999999997,3027.2599999999998,109481716,-4.43,7.57,5.39
2000-05-15,Dow Jones,3877.41,3923.7799999999997,3957.85,3849.25,773441899,1.85,0.51,2.63
2000-05-16,NASDAQ,4561.03,4548.73,4564.21,4540.62,492728830,7.39,5.53,9.27
2000-05-17,Dow Jones,1317.63,1327.95,1347.76,1302.13,419318465,-0.3,2.95,11.76
2000-05-18,Dow Jones,3925.99,3883.9599999999996,3974.18,3838.9599999999996,461955598,0.76,1.34,4.54
2000-05-19,S&P 500,1749.65,1767.96,1794.91,1715.24,779928276,8.64,7.72,6.78
2000-05-20,Dow Jones,4432.71,4475.97,4490.360000000001,4383.41,2033687,7.55,2.17,2.22
2000-05-21,Dow Jones,4276.25,4283.82,4289.83,4237.9,628454769,4.98,2.24,12.91
2000-05-22,NASDAQ,3163.18,3125.79,3198.3599999999997,3078.69,239257872,-1.0,2.75,12.14
2000-05-23,NASDAQ,3840.97,3849.14,3881.3799999999997,3830.16,569657518,-3.24,5.87,2.82
2000-05-24,S&P 500,2257.4,2284.03,2302.73,2218.83,345509363,-4.76,6.6,6.74
2000-05-25,Dow Jones,2884.67,2875.31,2932.2200000000003,2874.2999999999997,400235571,-3.39,0.18,14.42
2000-05-26,Dow Jones,4286.55,4324.53,4325.639999999999,4253.01,302541000,-0.61,2.42,7.1
2000-05-27,Dow Jones,2837.06,2851.93,2867.12,2813.6,519567266,3.28,4.31,8.84
2000-05-28,S&P 500,2431.19,2471.11,2517.1600000000003,2413.85,572500435,-4.04,3.32,6.62
2000-05-29,S&P 500,2976.85,2989.2,3005.25,2933.73,327327506,-2.96,8.84,9.75
2000-05-30,NASDAQ,4313.0,4276.13,4325.61,4233.42,560473297,-2.28,7.88,14.72
2000-05-31,S&P 500,2340.83,2321.7999999999997,2367.54,2320.68,271503507,4.48,6.26,14.97
2000-06-01,Dow Jones,1695.05,1665.23,1736.24,1634.75,825894493,4.24,3.38,12.07
2000-06-02,Dow Jones,3848.06,3888.94,3894.1,3829.67,804925991,3.26,7.01,7.26
2000-06-03,S&P 500,4303.91,4329.95,4377.099999999999,4283.13,553485440,-1.24,8.44,8.43
2000-06-04,Dow Jones,1402.55,1420.19,1459.94,1360.95,218426967,0.57,5.95,6.64
2000-06-05,Dow Jones,1959.5,1939.6,1968.56,1924.11,631418391,-3.55,7.84,14.81
2000-06-06,S&P 500,1567.89,1536.2900000000002,1603.49,1489.14,955154926,-1.6,7.49,11.2
2000-06-07,S&P 500,2391.77,2417.42,2436.67,2382.79,946599186,8.47,5.72,7.84
2000-06-08,Dow Jones,2801.4,2798.82,2821.51,2765.6800000000003,923384605,9.7,3.12,2.16
2000-06-09,Dow Jones,3995.31,3967.89,4034.47,3934.2799999999997,987151513,4.71,7.46,8.77
2000-06-10,Dow Jones,3604.59,3616.25,3664.39,3591.98,803780777,8.75,2.07,14.79
2000-06-11,NASDAQ,3483.71,3437.7400000000002,3490.04,3421.5000000000005,1889515,4.64,7.79,8.8
2000-06-12,NASDAQ,2409.5,2392.12,2430.53,2350.38,881189435,-4.5,8.05,4.37
2000-06-13,NASDAQ,4365.79,4362.65,4389.84,4324.5599999999995,963802405,9.95,8.22,2.29
2000-06-14,S&P 500,2885.15,2849.9500000000003,2903.9700000000003,2833.5000000000005,323231884,-3.52,4.73,6.61
2000-06-15,NASDAQ,4916.42,4964.89,4983.05,4889.72,136723587,5.24,1.92,13.94
2000-06-16,S&P 500,3536.57,3507.48,3539.1800000000003,3504.4,469963180,-1.21,1.0,14.96
2000-06-17,S&P 500,1505.06,1468.1,1539.34,1457.6599999999999,86383568,0.88,7.43,14.29
2000-06-18,NASDAQ,3704.71,3675.06,3726.52,3650.77,766347837,4.69,8.86,11.48
2000-06-19,NASDAQ,2300.42,2327.33,2337.0699999999997,2296.12,178041248,1.55,6.51,9.26
2000-06-20,NASDAQ,3745.31,3737.86,3786.11,3695.69,178417092,-1.24,1.44,9.68
2000-06-21,Dow Jones,1278.56,1285.1,1325.23,1242.6599999999999,888342683,0.02,9.35,9.01
2000-06-22,NASDAQ,1699.53,1651.6299999999999,1723.85,1604.4499999999998,255425599,0.12,9.89,11.19
2000-06-23,Dow Jones,4422.95,4376.389999999999,4437.87,4341.719999999999,607779479,9.39,4.33,7.45
2000-06-24,S&P 500,1908.72,1903.3,1940.6200000000001,1856.28,223070224,6.98,5.95,10.7
2000-06-25,Dow Jones,4348.16,4379.83,4394.24,4320.43,731722353,1.88,7.77,3.58
2000-06-26,NASDAQ,2117.1,2155.62,2167.42,2087.0899999999997,287683238,-2.0,7.36,5.45
2000-06-27,S&P 500,3571.53,3530.2000000000003,3608.0600000000004,3481.3500000000004,941175727,7.17,9.68,12.87
2000-06-28,S&P 500,3776.6,3780.44,3782.46,3744.49,543647207,-2.64,1.15,13.75
2000-06-29,S&P 500,3050.62,3091.94,3096.68,3049.08,836833323,-1.84,5.81,9.01
2000-06-30,Dow Jones,2221.24,2210.04,2221.58,2173.85,942336242,0.49,6.92,2.41
2000-07-01,NASDAQ,1850.58,1883.54,1891.19,1805.31,109496650,8.21,8.9,14.05
2000-07-02,S&P 500,1132.76,1096.1299999999999,1136.21,1056.35,270303051,-3.02,8.74,11.13
2000-07-03,S&P 500,2215.79,2259.33,2309.12,2186.6,868362188,-3.17,9.78,7.38
2000-07-04,S&P 500,3612.65,3637.79,3652.23,3579.08,965689215,2.41,5.12,9.78
2000-07-05,Dow Jones,4753.22,4797.35,4804.81,4703.71,945623111,-0.85,8.31,7.59
2000-07-06,Dow Jones,4484.82,4502.48,4514.53,4480.29,812175360,3.53,4.27,8.05
2000-07-07,NASDAQ,4064.26,4050.6000000000004,4111.070000000001,4017.2400000000002,795334984,1.77,4.22,13.53
2000-07-08,Dow Jones,4153.79,4197.61,4223.62,4139.62,623910939,1.52,2.53,4.09
2000-07-09,S&P 500,3659.94,3637.5,3678.18,3605.5,671161793,-3.32,8.18,3.35
2000-07-10,NASDAQ,2041.15,2024.3700000000001,2084.82,1993.99,857325709,-2.88,9.86,2.04
2000-07-11,S&P 500,4628.78,4648.86,4668.61,4621.11,516095436,7.32,2.56,6.08
2000-07-12,S&P 500,3682.93,3709.46,3726.21,3672.5899999999997,331385665,8.29,0.56,3.92
2000-07-13,Dow Jones,3241.76,3284.7000000000003,3295.0600000000004,3210.6800000000003,174563587,-1.48,8.16,4.86
2000-07-14,NASDAQ,1443.96,1414.44,1462.8500000000001,1408.03,672377355,-3.3,6.2,2.15
2000-07-15,Dow Jones,2788.22,2818.02,2833.85,2774.9599999999996,230689263,-4.2,9.6,4.95
2000-07-16,Dow Jones,2841.43,2865.2799999999997,2899.1499999999996,2799.6699999999996,403923337,4.12,2.52,6.33
2000-07-17,NASDAQ,4458.25,4414.63,4472.73,4398.28,142667970,5.73,0.71,2.41
2000-07-18,S&P 500,3186.59,3175.31,3215.4500000000003,3150.91,967242243,0.59,4.92,9.9
2000-07-19,S&P 500,2521.6,2499.88,2524.89,2452.82,201601989,5.2,0.85,9.39
2000-07-20,NASDAQ,4907.2,4887.65,4916.76,4876.29,68409238,5.69,2.62,3.26
2000-07-21,S&P 500,1442.88,1491.17,1511.54,1423.4,270595396,9.03,1.26,9.74
2000-07-22,NASDAQ,2690.19,2704.4700000000003,2751.32,2659.87,170138929,-4.03,2.24,14.98
2000-07-23,NASDAQ,1168.1,1189.87,1208.7299999999998,1130.33,608510921,-2.12,1.06,14.28
2000-07-24,Dow Jones,3959.62,4007.2799999999997,4040.4799999999996,3914.54,288691434,-3.97,9.54,2.03
2000-07-25,NASDAQ,4672.31,4660.030000000001,4685.06,4614.26,799658194,8.02,2.79,12.34
2000-07-26,Dow Jones,2120.15,2150.33,2156.68,2081.32,475599693,6.89,4.44,6.6
2000-07-27,S&P 500,4433.37,4426.82,4436.3,4415.4,227390164,3.62,8.99,2.83
2000-07-28,S&P 500,2168.87,2205.8199999999997,2221.0899999999997,2167.63,342220731,-3.75,6.77,5.85
2000-07-29,S&P 500,4643.08,4611.15,4650.96,4591.96,442221147,-0.9,6.18,6.18
2000-07-30,S&P 500,4015.85,4060.62,4069.3199999999997,4008.77,739835604,-0.53,7.06,8.8
2000-07-31,Dow Jones,4219.63,4191.51,4257.67,4155.99,803770339,3.41,8.29,10.59
2000-08-01,S&P 500,1072.03,1054.6499999999999,1072.82,1021.5899999999999,456383319,-1.13,8.78,11.74
2000-08-02,NASDAQ,4851.24,4876.86,4904.75,4849.04,181540597,-3.91,6.43,5.2
2000-08-03,NASDAQ,3906.68,3896.06,3925.6499999999996,3854.23,809464549,5.96,8.9,6.18
2000-08-04,NASDAQ,2219.0,2229.82,2255.15,2206.56,140581456,-0.51,5.35,6.01
2000-08-05,Dow Jones,4317.58,4312.04,4345.72,4290.43,191235797,1.79,2.77,6.72
2000-08-06,S&P 500,2126.08,2150.3199999999997,2165.99,2092.68,316539794,-3.09,8.8,15.0
2000-08-07,S&P 500,4491.02,4463.85,4505.780000000001,4442.38,437059637,7.04,5.41,12.11
2000-08-08,S&P 500,1450.32,1406.1699999999998,1486.99,1384.11,307758473,3.48,9.06,14.67
2000-08-09,Dow Jones,3814.74,3794.7299999999996,3858.2999999999997,3791.4499999999994,272954108,8.52,0.4,11.01
2000-08-10,NASDAQ,3162.79,3160.22,3172.42,3140.1499999999996,934278346,2.43,3.98,7.28
2000-08-11,NASDAQ,1386.14,1352.94,1391.0200000000002,1314.7,754385765,9.12,9.48,7.07
2000-08-12,S&P 500,1967.58,1953.06,2012.47,1907.3,136440193,8.38,2.5,8.35
2000-08-13,NASDAQ,1049.62,1039.62,1067.11,1018.9499999999999,607010400,3.65,9.42,7.42
2000-08-14,NASDAQ,2875.07,2830.81,2902.6400000000003,2809.63,698918762,9.01,9.54,12.77
2000-08-15,Dow Jones,2205.06,2213.39,2231.37,2169.93,541727710,-0.15,8.82,8.05
2000-08-16,Dow Jones,3393.43,3431.8599999999997,3438.1499999999996,3346.29,521668783,0.48,5.64,5.84
2000-08-17,Dow Jones,2188.95,2154.12,2218.4199999999996,2140.77,871961954,-4.32,6.47,12.07
2000-08-18,Dow Jones,2199.68,2209.46,2235.7200000000003,2177.6699999999996,628109412,3.84,8.7,13.11
2000-08-19,S&P 500,3972.77,3989.24,3999.39,3932.97,67507182,5.83,7.76,7.47
2000-08-20,Dow Jones,1192.57,1184.5,1215.1599999999999,1154.02,457332782,6.6,6.3,10.68
2000-08-21,NASDAQ,4611.58,4631.69,4671.54,4606.05,573882019,-2.75,9.82,2.76
2000-08-22,S&P 500,4409.06,4400.13,4438.580000000001,4368.74,747253334,1.66,6.86,8.88
2000-08-23,NASDAQ,3671.22,3671.68,3676.5299999999997,3661.8799999999997,986247139,-2.35,9.75,2.58
2000-08-24,NASDAQ,3372.89,3323.6299999999997,3400.29,3298.1199999999994,985559015,4.93,0.57,2.38
2000-08-25,NASDAQ,4569.21,4588.38,4623.52,4542.75,34354214,-2.63,1.39,9.97
2000-08-26,Dow Jones,1741.32,1757.45,1797.0900000000001,1697.51,819417369,8.56,4.51,5.94
2000-08-27,Dow Jones,1315.88,1269.72,1347.3400000000001,1246.6000000000001,897966744,-1.54,3.85,11.65
2000-08-28,S&P 500,1958.04,1944.87,1965.67,1930.8999999999999,490462992,-0.63,7.83,13.65
2000-08-29,S&P 500,4178.31,4226.21,4261.72,4166.76,929870670,7.76,1.61,3.81
2000-08-30,Dow Jones,1138.68,1130.75,1172.55,1087.04,674851300,1.88,9.76,11.42
2000-08-31,NASDAQ,3331.23,3331.42,3332.64,3322.68,129795523,-4.64,3.15,8.69
2000-09-01,S&P 500,4981.75,5022.74,5043.33,4960.46,26841045,2.42,4.29,3.46
2000-09-02,Dow Jones,4422.78,4444.509999999999,4461.159999999999,4413.42,124700944,-3.73,2.75,10.47
2000-09-03,Dow Jones,3085.78,3093.9900000000002,3127.46,3047.11,91632469,9.78,5.79,9.92
2000-09-04,Dow Jones,1254.56,1284.34,1295.1499999999999,1230.84,708942352,3.82,0.59,8.7
2000-09-05,NASDAQ,4325.49,4361.929999999999,4391.469999999999,4307.929999999999,154110733,-1.15,1.5,14.04
2000-09-06,Dow Jones,3395.91,3391.6,3441.5699999999997,3373.5499999999997,789311629,3.46,7.46,8.77
2000-09-07,Dow Jones,1459.73,1457.24,1499.6200000000001,1414.63,933755783,-3.85,1.87,14.88
2000-09-08,Dow Jones,1375.43,1364.04,1421.5,1336.35,39372961,7.0,2.36,8.62
2000-09-09,Dow Jones,4638.51,4685.18,4734.110000000001,4602.62,880713113,8.88,7.93,3.51
2000-09-10,S&P 500,3676.8,3696.52,3697.05,3631.9500000000003,508829100,8.12,0.93,8.12
2000-09-11,S&P 500,4317.15,4275.469999999999,4348.29,4230.379999999999,253732253,0.13,4.37,4.37
2000-09-12,Dow Jones,4515.92,4552.22,4572.860000000001,4499.49,516252181,-0.11,0.23,9.76
2000-09-13,NASDAQ,3287.09,3285.15,3330.08,3237.53,281377679,-4.47,3.47,11.01
2000-09-14,S&P 500,3069.79,3026.67,3082.38,3025.4300000000003,651613341,4.77,6.99,8.09
2000-09-15,Dow Jones,2721.71,2726.68,2775.73,2702.87,261069967,3.02,0.9,3.27
2000-09-16,S&P 500,2267.79,2259.5099999999998,2298.48,2214.72,35255909,1.89,8.88,8.09
